tic_id,obj_name,period_days,t0_bjd,depth_ppm,sde,status
1000512608353060,1SWASP J000512.60-835306.0,0.5,2453867.1244722223,87067755.92470123,3790.397060881673,Unvetted Candidate
1000518158148592,1SWASP J000518.15-814859.2,0.997839978399784,2453866.7523217592,1067168.7334325858,9.68021739773693,Unvetted Candidate
1000519568337087,1SWASP J000519.56-833708.7,0.5302253022530226,2453867.171449074,2184967.21524471,45.35377645109511,Unvetted Candidate
1000523098221213,1SWASP J000523.09-822121.3,0.514040140401404,2453866.708356481,2293440.2203422347,42.0789443542675,Unvetted Candidate
1000526308350143,1SWASP J000526.30-835014.3,0.5955509555095551,2453920.235935185,5338753.865392473,156.76261059383688,Unvetted Candidate
1000537978139338,1SWASP J000537.97-813933.8,0.54290042900429,2453866.996310185,1176444.0650827915,8.304123829611138,Unvetted Candidate
1000601208258050,1SWASP J000601.20-825805.0,0.514040140401404,2453866.7084027776,1129471.7597477192,10.843504876574679,Unvetted Candidate
1000603548357338,1SWASP J000603.54-835733.8,0.514040140401404,2453866.708472222,1982593.847425831,33.41076609273146,Unvetted Candidate
1000614468254537,1SWASP J000614.46-825453.7,0.504680046800468,2453866.892402778,10882742.664492888,59.21704395078688,Unvetted Candidate
1000616178338254,1SWASP J000616.17-833825.4,0.5298352983529835,2453866.7184490743,2574481.523050614,56.33761845649659,Unvetted Candidate
1000617108209461,1SWASP J000617.10-820946.1,0.5298352983529835,2453866.7183449073,1106088.3074909602,9.787450751745736,Unvetted Candidate
1000617608330172,1SWASP J000617.60-833017.2,0.997839978399784,2453866.7514374997,14144519.061338369,1400.4719363359509,Unvetted Candidate
1000634098140155,1SWASP J000634.09-814015.5,0.514040140401404,2453866.708310185,2945828.782450194,69.42325772409595,Unvetted Candidate
1000636148348384,1SWASP J000636.14-834838.4,0.997839978399784,2453866.7524606483,2049494.7922465715,33.60343122756654,Unvetted Candidate
1000637878200049,1SWASP J000637.87-820004.9,1.060630606306063,2453867.690946759,11783380.533705551,1041.360426015832,Unvetted Candidate
