tic_id,obj_name,period_days,t0_bjd,depth_ppm,sde,status
356869021,,13.11556752,1683.958749,303.8269389,20.01250355,Unvetted Candidate
141178518,,19.46696427,2625.267493,1491.999128,14.93899254,Unvetted Candidate
169056167,,5.007556375,1496.456725,502.6411452,22.28546854,Unvetted Candidate
152288814,,4.410571453,1390.268805,349.7458367,24.91934688,Unvetted Candidate
134979784,,12.39707441,2556.599791,900.1111611,15.2776084,Unvetted Candidate
357626805,,12.65519882,1997.334183,915.82612,58.05393948,Unvetted Candidate
20499329,,0.914591117,1544.430874,181.4803237,129.0887593,Unvetted Candidate
156067195,,1.775002079,1931.088972,3220.154985,721.0426087,Unvetted Candidate
404504030,,2.190775101,1931.902877,569.8638956,19.49641766,Unvetted Candidate
161058589,,9.227608224,1743.393114,1284.741581,15.09549084,Unvetted Candidate
72938014,,14.45536216,1610.274885,828.2846846,46.55223945,Unvetted Candidate
189792420,,0.957910367,2693.632092,1294.161195,22.70809666,Unvetted Candidate
395317117,,8.827444194,3562.073532,1825.032134,11.32890083,Unvetted Candidate
229052103,,19.54173439,1341.249878,698.9545929,22.21225177,Unvetted Candidate
239067045,,10.16377835,3285.824389,1575.642257,90.34106398,Unvetted Candidate
79531088,,1.141843898,1385.976563,208.0556558,19.45570461,Unvetted Candidate
150651495,,2.920950521,3560.334069,470.9287194,14.92881913,Unvetted Candidate
279015236,,1.129612938,2825.339764,112.2226795,44.38743733,Unvetted Candidate
70224031,,7.366052085,3781.453421,1434.728077,22.68014665,Unvetted Candidate
466971435,,0.612058544,2797.576158,199.3624918,15.93354499,Unvetted Candidate
392795116,,3.096359266,2528.132077,450.6664151,13.26339102,Unvetted Candidate
289374000,,4.10553123,1686.290619,1125.05007,16.63961613,Unvetted Candidate
77994130,,3.070164584,1439.049946,660.8420046,18.33997583,Unvetted Candidate
157265030,,2.896156558,1711.686994,270.0613075,17.43514236,Unvetted Candidate
119816070,,10.60113186,2703.067956,913.3257152,13.8817663,Unvetted Candidate
367523755,,16.27510946,2485.819147,456.8688482,19.87627266,Unvetted Candidate
8152978,,11.00914214,1875.534247,972.3381822,17.89913234,Unvetted Candidate
458547790,,0.585929047,2718.870997,664.3156965,196.7548014,Unvetted Candidate
20658832,,12.6417201,1844.059985,881.3228524,26.99572897,Unvetted Candidate
232533692,,0.926232254,1930.750476,572.2384529,13.03759892,Unvetted Candidate
150269579,,1.515816065,1871.838856,444.7389803,16.55150036,Unvetted Candidate
308094120,,2.443671609,2011.407236,765.7027874,11.62324234,Unvetted Candidate
411248800,,0.599689122,1930.365969,1947.040703,5257.171683,Unvetted Candidate
72508653,,11.4081141,1936.333845,771.3568124,16.51432236,Unvetted Candidate
282782590,,3.817366196,1930.345626,1193.639162,15.96556917,Unvetted Candidate
328961501,,4.589272773,1903.254903,448.280686,18.35478062,Unvetted Candidate
82263218,,14.25150487,1903.687008,546.708221,16.9305215,Unvetted Candidate
262532454,,2.476665205,2231.383973,824.1731666,17.96597315,Unvetted Candidate
383467590,,7.439306752,1933.405406,748.4918706,32.78645885,Unvetted Candidate
429051921,,2.539614584,2447.943189,246.0340183,14.18794488,Unvetted Candidate
20215352,,2.783352774,2667.37286,949.4665065,15.1137307,Unvetted Candidate
264298985,,19.45505812,1697.436765,503.2711472,102.7849114,Unvetted Candidate
232602607,,6.635943334,1689.307946,113.7777314,22.79907258,Unvetted Candidate
220421994,,1.3631534,1326.337672,153.5046755,17.90959033,Unvetted Candidate
21648568,,13.40232181,1450.597287,3546.851609,160.48799,Unvetted Candidate
86077687,,1.195039876,1816.60647,519.9835263,14.09907257,Unvetted Candidate
235930066,,18.56296836,1686.891316,413.1930629,283.5433653,Unvetted Candidate
272759445,,16.28698861,2423.67177,753.8560682,47.8909884,Unvetted Candidate
231289966,,16.66876345,1366.690231,623.2328286,83.32612052,Unvetted Candidate
167524561,,0.821748653,1411.319303,12435.95609,251675.5006,Unvetted Candidate
361557261,,11.56834737,3511.398127,19123.74808,411.3655869,Unvetted Candidate
219147916,,2.512206936,1440.613595,359.6324804,18.33488562,Unvetted Candidate
31313288,,0.669804993,3666.447812,216.9096313,19.28719488,Unvetted Candidate
143092333,,0.65604286,1438.209185,199.1161064,115.4890061,Unvetted Candidate
314864860,,18.14928044,1325.954162,598.6807795,20.54809212,Unvetted Candidate
269764159,,0.520122462,2990.161197,147.493383,94.7162297,Unvetted Candidate
280832953,,0.831918235,1325.974128,121.1186213,104.1464361,Unvetted Candidate
100617302,,0.659658591,3127.016863,203.4935689,117.2215124,Unvetted Candidate
5774131,,16.42784179,3185.187232,2242.070518,80.35399868,Unvetted Candidate
265337716,,6.18881602,1657.353283,2666.49935,56.03696794,Unvetted Candidate
238004786,,0.619215155,1354.410918,226.8306158,236.1654529,Unvetted Candidate
341267146,,0.501981251,1544.742326,195.9553317,105.8974827,Unvetted Candidate
186185992,,13.3877541,1683.809417,2374.117212,748.966868,Unvetted Candidate
